R,d,θ,x,y,z
2.2,2.6,80,0.45149,0,2.5605
2.2,2.6,85,0.2266,0,2.59011
2.2,2.6,90,0.0,0,2.6
2.2,2.6,95,-0.2266,0,2.59011
2.2,2.6,100,-0.45149,0,2.5605
2.2,2.6,105,-0.67293,0,2.51141
2.2,2.6,110,-0.88925,0,2.4432
2.2,2.6,115,-1.09881,0,2.3564
2.2,2.6,120,-1.3,0,2.25167
2.2,2.8,70,0.95766,0,2.63114
2.2,2.8,75,0.72469,0,2.70459
2.2,2.8,80,0.48621,0,2.75746
2.2,2.8,85,0.24404,0,2.78935
2.2,2.8,90,0.0,0,2.8
2.2,2.8,95,-0.24404,0,2.78935
2.2,2.8,100,-0.48621,0,2.75746
2.2,2.8,105,-0.72469,0,2.70459
2.2,2.8,110,-0.95766,0,2.63114
2.2,2.8,115,-1.18333,0,2.53766
2.2,2.8,120,-1.4,0,2.42487
2.2,3.0,70,1.02606,0,2.81908
2.2,3.0,75,0.77646,0,2.89778
2.2,3.0,80,0.52094,0,2.95442
2.2,3.0,85,0.26147,0,2.98858
2.2,3.0,90,0.0,0,3.0
2.2,3.0,95,-0.26147,0,2.98858
2.2,3.0,100,-0.52094,0,2.95442
2.2,3.0,105,-0.77646,0,2.89778
2.2,3.0,110,-1.02606,0,2.81908
2.2,3.0,115,-1.26785,0,2.71892
2.2,3.0,120,-1.5,0,2.59808
2.2,3.2,70,1.09446,0,3.00702
2.2,3.2,75,0.82822,0,3.09096
2.2,3.2,80,0.55567,0,3.15138
2.2,3.2,85,0.2789,0,3.18782
2.2,3.2,90,0.0,0,3.2
2.2,3.2,95,-0.2789,0,3.18782
2.2,3.2,100,-0.55567,0,3.15138
2.2,3.2,105,-0.82822,0,3.09096
2.2,3.2,110,-1.09446,0,3.00702
2.2,3.2,115,-1.35238,0,2.90018
2.2,3.2,120,-1.6,0,2.77128
2.4,2.4,70,0.82085,0,2.25526
2.4,2.4,75,0.62117,0,2.31822
2.4,2.4,80,0.41676,0,2.36354
2.4,2.4,85,0.20917,0,2.39087
2.4,2.4,90,0.0,0,2.4
2.4,2.4,95,-0.20917,0,2.39087
2.4,2.4,100,-0.41676,0,2.36354
2.4,2.4,105,-0.62117,0,2.31822
2.4,2.4,110,-0.82085,0,2.25526
2.4,2.4,115,-1.01428,0,2.17514
2.4,2.4,120,-1.2,0,2.07846
