,r,d,t,x,y,z
216,1.5999999999999999,1.7999999999999998,105,-0.4658742811845375,0,1.7386664873203228
217,1.5999999999999999,1.7999999999999998,110,-0.6156362579862036,0,1.691446717414635
218,1.5999999999999999,1.7999999999999998,115,-0.7607128711332587,0,1.63135401666597
219,1.5999999999999999,1.7999999999999998,120,-0.8999999999999995,0,1.5588457268119897
220,1.5999999999999999,1.9999999999999998,70,0.6840402866513375,0,1.8793852415718164
221,1.5999999999999999,1.9999999999999998,75,0.5176380902050414,0,1.9318516525781364
222,1.5999999999999999,1.9999999999999998,80,0.3472963553338608,0,1.9696155060244158
223,1.5999999999999999,1.9999999999999998,85,0.17431148549531622,0,1.9923893961834909
224,1.5999999999999999,1.9999999999999998,90,1.224646799147353e-16,0,1.9999999999999998
225,1.5999999999999999,1.9999999999999998,95,-0.17431148549531644,0,1.9923893961834909
226,1.5999999999999999,1.9999999999999998,100,-0.34729635533386055,0,1.9696155060244158
227,1.5999999999999999,1.9999999999999998,105,-0.5176380902050416,0,1.9318516525781364
228,1.5999999999999999,1.9999999999999998,110,-0.6840402866513373,0,1.8793852415718166
229,1.5999999999999999,1.9999999999999998,115,-0.8452365234813985,0,1.8126155740732999
230,1.5999999999999999,1.9999999999999998,120,-0.9999999999999994,0,1.7320508075688774
231,1.5999999999999999,2.1999999999999997,70,0.7524443153164713,0,2.067323765728998
232,1.5999999999999999,2.1999999999999997,75,0.5694018992255455,0,2.12503681783595
233,1.5999999999999999,2.1999999999999997,80,0.38202599086724687,0,2.166577056626857
234,1.5999999999999999,2.1999999999999997,85,0.19174263404484784,0,2.19162833580184
235,1.5999999999999999,2.1999999999999997,90,1.3471114790620883e-16,0,2.1999999999999997
236,1.5999999999999999,2.1999999999999997,95,-0.1917426340448481,0,2.19162833580184
237,1.5999999999999999,2.1999999999999997,100,-0.38202599086724665,0,2.166577056626857
238,1.5999999999999999,2.1999999999999997,105,-0.5694018992255458,0,2.12503681783595
239,1.5999999999999999,2.1999999999999997,110,-0.752444315316471,0,2.0673237657289985
240,1.5999999999999999,2.1999999999999997,115,-0.9297601758295384,0,1.9938771314806298
241,1.5999999999999999,2.1999999999999997,120,-1.0999999999999994,0,1.905255888325765
242,1.5999999999999999,2.3999999999999995,70,0.820848343981605,0,2.2552622898861796
243,1.5999999999999999,2.3999999999999995,75,0.6211657082460497,0,2.3182219830937636
244,1.5999999999999999,2.3999999999999995,80,0.4167556264006329,0,2.3635386072292985
245,1.5999999999999999,2.3999999999999995,85,0.20917378259437946,0,2.390867275420189
246,1.5999999999999999,2.3999999999999995,90,1.4695761589768236e-16,0,2.3999999999999995
247,1.5999999999999999,2.3999999999999995,95,-0.20917378259437971,0,2.390867275420189
248,1.5999999999999999,2.3999999999999995,100,-0.41675562640063263,0,2.3635386072292985
249,1.5999999999999999,2.3999999999999995,105,-0.6211657082460499,0,2.3182219830937636
250,1.5999999999999999,2.3999999999999995,110,-0.8208483439816048,0,2.2552622898861796
251,1.5999999999999999,2.3999999999999995,115,-1.0142838281776783,0,2.1751386888879596
252,1.5999999999999999,2.3999999999999995,120,-1.1999999999999993,0,2.0784609690826525
253,1.5999999999999999,2.5999999999999996,70,0.8892523726467388,0,2.443200814043361
254,1.5999999999999999,2.5999999999999996,75,0.6729295172665538,0,2.5114071483515774
